iter	Passed	Remaining
1378	126045	330973
1379	126131	330866
1380	126216	330758
1381	126302	330651
1382	126390	330553
1383	126473	330440
1384	126563	330343
1385	126647	330234
1386	126733	330127
1387	126815	330012
1388	126901	329907
1389	126993	329817
1390	127082	329718
1391	127170	329621
1392	127257	329517
1393	127348	329424
1394	127433	329316
1395	127518	329209
1396	127608	329114
1397	127693	329007
1398	127780	328904
1399	127866	328799
1400	127952	328693
1401	128043	328603
1402	128134	328510
1403	128232	328435
1404	128317	328329
1405	128404	328225
1406	128490	328120
1407	128577	328019
1408	128666	327920
1409	128760	327836
1410	128846	327731
1411	128939	327643
1412	129024	327537
1413	129109	327430
1414	129193	327320
1415	129277	327211
1416	129363	327106
1417	129452	327008
1418	129544	326919
1419	129633	326821
1420	129723	326728
1421	129816	326641
1422	129908	326551
1423	129991	326439
1424	130082	326348
1425	130171	326249
1426	130257	326145
1427	130344	326043
1428	130429	325937
1429	130514	325829
1430	130598	325721
1431	130689	325629
1432	130778	325531
1433	130866	325431
1434	130961	325349
1435	131046	325243
1436	131133	325140
1437	131217	325032
1438	131304	324931
1439	131389	324825
1440	131484	324742
1441	131570	324639
1442	131661	324546
1443	131749	324447
1444	131834	324339
1445	131919	324233
1446	132006	324131
1447	132091	324024
1448	132181	323931
1449	132266	323825
1450	132353	323722
1451	132441	323624
1452	132527	323521
1453	132611	323411
1454	132696	323305
1455	132782	323202
1456	132869	323098
1457	132959	323005
1458	133043	322897
1459	133130	322795
1460	133215	322689
1461	133303	322589
1462	133389	322487
1463	133479	322392
1464	133561	322280
1465	133648	322179
1466	133735	322077
1467	133818	321965
1468	133902	321858
1469	133984	321745
1470	134066	321632
1471	134153	321530
1472	134239	321427
1473	134323	321319
1474	134410	321218
1475	134496	321115
1476	134580	321007
1477	134669	320909
1478	134759	320816
1479	134850	320725
1480	134934	320617
1481	135026	320527
1482	135114	320429
1483	135198	320321
1484	135283	320215
1485	135366	320106
1486	135452	320003
1487	135536	319895
1488	135623	319795
1489	135710	319694
1490	135802	319604
